MMSI,249420000,,,,,,,,,,Length,,,Width,,,,,,
Date and UTC Time,Lat,Lon,SOG,HDG,COG,ROT,Status,IMO Number,Name,Call Sign,Bow,Stern,Overall,Port,Starboard,Overall,Draught,Destination,Vessel Type,Extra Info
11/02/2019 23:22:05,49.748758,-3.056917,12.6,66,63,0.7,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:22:15,49.748998,-3.056108,12.6,66,63.3,0.7,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:22:24,49.749232,-3.055383,12.6,66,63.4,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:22:33,49.749507,-3.054585,12.6,66,63.6,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:22:44,49.749770,-3.053802,12.6,66,63.9,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:22:54,49.750018,-3.053015,12.6,66,63.7,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:23:05,49.750298,-3.052122,12.6,66,63.7,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:23:15,49.750555,-3.051292,12.6,66,63.8,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:23:24,49.750795,-3.050565,12.6,66,64,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:23:36,49.751082,-3.049693,12.6,66,64,-0.2,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
11/02/2019 23:23:44,49.751315,-3.048953,12.6,66,63.9,0,Under way using engine,9756224,ABOY SIENNA,9HA4236,257,43,300,29,21,50,,,Cargo,N/A
