Date(GMT),Lat,Lon
15-3-2014 00:00,79.1288,25.205
15-3-2014 00:15,79.1278,25.201
15-3-2014 00:30,79.1266,25.197
15-3-2014 00:45,79.1254,25.1926
15-3-2014 01:00,79.1242,25.1874
15-3-2014 01:15,79.123,25.1816
15-3-2014 01:30,79.1218,25.1758
15-3-2014 01:45,79.1206,25.1694
15-3-2014 02:00,79.1194,25.163
15-3-2014 02:15,79.1184,25.1556
15-3-2014 02:30,79.1174,25.1476
15-3-2014 02:45,79.1164,25.1394
15-3-2014 03:00,79.1156,25.1308
15-3-2014 03:15,79.1146,25.122
15-3-2014 03:30,79.1138,25.1144
15-3-2014 03:45,79.113,25.107
15-3-2014 04:00,79.1122,25.1006
15-3-2014 04:15,79.1114,25.0952
15-3-2014 04:30,79.1108,25.0902
15-3-2014 04:45,79.1102,25.086
15-3-2014 05:00,79.1098,25.082
15-3-2014 05:15,79.1096,25.0782
15-3-2014 05:30,79.1094,25.075
15-3-2014 05:45,79.1092,25.0724
15-3-2014 06:00,79.1092,25.0702
15-3-2014 06:15,79.1092,25.068
15-3-2014 06:30,79.1092,25.0666
15-3-2014 06:45,79.1094,25.0656
15-3-2014 07:00,79.1094,25.065
15-3-2014 07:15,79.1096,25.065
15-3-2014 07:30,79.1098,25.0652
15-3-2014 07:45,79.11,25.0658
15-3-2014 08:00,79.1102,25.0666
15-3-2014 08:15,79.1104,25.0672
15-3-2014 08:30,79.1106,25.0678
15-3-2014 08:45,79.1108,25.0684
15-3-2014 09:00,79.111,25.069
15-3-2014 09:15,79.1112,25.0696
15-3-2014 09:30,79.1112,25.0698
15-3-2014 09:45,79.1114,25.0698
15-3-2014 10:00,79.1114,25.07
15-3-2014 10:15,79.1112,25.07
15-3-2014 10:30,79.1112,25.0698
15-3-2014 10:45,79.111,25.0698
15-3-2014 11:00,79.1106,25.069
15-3-2014 11:15,79.1102,25.0678
15-3-2014 11:30,79.1096,25.0666
15-3-2014 11:45,79.109,25.0648
15-3-2014 12:00,79.1082,25.0632
15-3-2014 12:15,79.1074,25.0606
15-3-2014 12:30,79.1064,25.0576
15-3-2014 12:45,79.1052,25.0544
15-3-2014 13:00,79.1042,25.051
15-3-2014 13:15,79.103,25.0468
15-3-2014 13:30,79.1016,25.0428
15-3-2014 13:45,79.1004,25.0384
15-3-2014 14:00,79.0992,25.0336
15-3-2014 14:15,79.098,25.0286
15-3-2014 14:30,79.0966,25.0232
15-3-2014 14:45,79.0952,25.0178
15-3-2014 15:00,79.094,25.0124
15-3-2014 15:15,79.0928,25.0072
15-3-2014 15:30,79.0916,25.002
15-3-2014 15:45,79.0906,24.9968
15-3-2014 16:00,79.0894,24.9922
15-3-2014 16:15,79.0884,24.9882
15-3-2014 16:30,79.0876,24.9842
15-3-2014 16:45,79.0868,24.9804
15-3-2014 17:00,79.0862,24.9768
15-3-2014 17:15,79.0856,24.974
15-3-2014 17:30,79.085,24.9714
15-3-2014 17:45,79.0846,24.9692
15-3-2014 18:00,79.0842,24.9672
15-3-2014 18:15,79.084,24.9658
15-3-2014 18:30,79.0836,24.9644
15-3-2014 18:45,79.0834,24.9634
15-3-2014 19:00,79.083,24.9626
15-3-2014 19:15,79.0828,24.9622
15-3-2014 19:30,79.0826,24.962
15-3-2014 19:45,79.0824,24.962
15-3-2014 20:00,79.0822,24.9624
15-3-2014 20:15,79.082,24.963
15-3-2014 20:30,79.0818,24.9638
15-3-2014 20:45,79.0816,24.9646
15-3-2014 21:00,79.0814,24.9654
15-3-2014 21:15,79.0812,24.966
15-3-2014 21:30,79.0808,24.967
15-3-2014 21:45,79.0802,24.9678
15-3-2014 22:00,79.0796,24.9686
15-3-2014 22:15,79.079,24.9694
15-3-2014 22:30,79.078,24.9698
15-3-2014 22:45,79.0772,24.97
15-3-2014 23:00,79.076,24.9696
15-3-2014 23:15,79.0748,24.9694
15-3-2014 23:30,79.0736,24.9688
15-3-2014 23:45,79.0722,24.9676
16-3-2014 00:00,79.0708,24.9664
16-3-2014 00:15,79.069,24.9646
16-3-2014 00:30,79.0674,24.9622
16-3-2014 00:45,79.0654,24.9592
16-3-2014 01:00,79.0634,24.9554
16-3-2014 01:15,79.0614,24.9514
16-3-2014 01:30,79.0592,24.947
16-3-2014 01:45,79.057,24.942
16-3-2014 02:00,79.055,24.9368
16-3-2014 02:15,79.0528,24.931
16-3-2014 02:30,79.0506,24.925
16-3-2014 02:45,79.0484,24.9184
16-3-2014 03:00,79.0462,24.9114
16-3-2014 03:15,79.044,24.9046
16-3-2014 03:30,79.042,24.8978
16-3-2014 03:45,79.04,24.8906
16-3-2014 04:00,79.0382,24.8834
16-3-2014 04:15,79.0364,24.8766
16-3-2014 04:30,79.0348,24.8702
16-3-2014 04:45,79.0332,24.864
16-3-2014 05:00,79.0316,24.858
16-3-2014 05:15,79.03,24.8532
16-3-2014 05:30,79.0284,24.8474
16-3-2014 05:45,79.0268,24.843
16-3-2014 06:00,79.0254,24.8388
16-3-2014 06:15,79.024,24.8354
16-3-2014 06:30,79.0228,24.8326
16-3-2014 06:45,79.0214,24.8306
16-3-2014 07:00,79.0202,24.829
16-3-2014 07:15,79.019,24.8278
16-3-2014 07:30,79.0178,24.827
16-3-2014 07:45,79.0166,24.8266
16-3-2014 08:00,79.0152,24.8264
16-3-2014 08:15,79.014,24.8264
16-3-2014 08:30,79.0128,24.8268
16-3-2014 08:45,79.0114,24.8274
16-3-2014 09:00,79.0102,24.8284
16-3-2014 09:15,79.0086,24.8294
16-3-2014 09:30,79.0072,24.8304
16-3-2014 09:45,79.0056,24.8316
16-3-2014 10:00,79.0038,24.8328
16-3-2014 10:15,79.002,24.8344
16-3-2014 10:30,79,24.8358
16-3-2014 10:45,78.998,24.8372
16-3-2014 11:00,78.998,24.8372
16-3-2014 11:15,78.9958,24.8382
16-3-2014 11:30,78.9932,24.8394
16-3-2014 11:45,78.9908,24.8404
16-3-2014 12:00,78.9882,24.8412
16-3-2014 12:15,78.9854,24.8418
16-3-2014 12:30,78.9826,24.8414
16-3-2014 12:45,78.9798,24.8408
16-3-2014 13:00,78.9766,24.8402
16-3-2014 13:15,78.9734,24.84
16-3-2014 13:30,78.97,24.839
16-3-2014 13:45,78.9666,24.838
16-3-2014 14:00,78.963,24.836
16-3-2014 14:15,78.9596,24.8332
16-3-2014 14:30,78.956,24.8292
16-3-2014 14:45,78.9524,24.8246
16-3-2014 15:00,78.9486,24.8198
16-3-2014 15:15,78.945,24.8138
16-3-2014 15:30,78.9412,24.8074
16-3-2014 15:45,78.9376,24.8006
16-3-2014 16:00,78.934,24.7934
16-3-2014 16:15,78.9304,24.7862
16-3-2014 16:30,78.9268,24.7794
16-3-2014 16:45,78.9234,24.7726
16-3-2014 17:00,78.92,24.766
16-3-2014 17:15,78.9166,24.7594
16-3-2014 17:30,78.9134,24.7532
16-3-2014 17:45,78.9102,24.748
16-3-2014 18:00,78.907,24.7426
16-3-2014 18:15,78.904,24.7374
16-3-2014 18:30,78.901,24.7328
16-3-2014 18:45,78.8982,24.7282
