/* DATA DESCRIPTION:
Citation:	Meyerjürgens, Jens; Badewien, Thomas H; Zielinski, Oliver; Braun, Axel; Butter, Michael (2019): Track of GPS-Drifter HE498/10-3 (North_Sea_Drifter5) in the German Bight, Southern North Sea. Institute for Chemistry and Biology of the Marine Environment, Carl-von-Ossietzky University of Oldenburg, Germany, PANGAEA, https://doi.org/10.1594/PANGAEA.897993
Abstract:	Drifter position data from drifter deployments in March and October 2017 im the German Bight. The drifters were deployed from RV Heincke and RV Senckenberg. The drifter position was send every 10 minutes via the Globalstar satellite transmission service. The drifters were 0.5 m in height with a subsurface drogue which is directly to the housing. The drag area ration of the deployed configuration is R=25.6.
Keyword(s):	Drifters; German Bight; North Sea
Coverage:	MEDIAN LATITUDE: 54.310984 * MEDIAN LONGITUDE: 8.238230 * SOUTH-BOUND LATITUDE: 54.005990 * WEST-BOUND LONGITUDE: 7.653670 * NORTH-BOUND LATITUDE: 54.669420 * EAST-BOUND LONGITUDE: 8.680490
	DATE/TIME START: 2017-10-08T09:29:51 * DATE/TIME END: 2017-10-23T07:53:40
	MINIMUM ELEVATION: -33.0 m * MAXIMUM ELEVATION: -33.0 m
Event(s):	HE498/10-3 * LATITUDE: 54.027800 * LONGITUDE: 7.745680 * DATE/TIME: 2017-10-08T09:29:00 * ELEVATION: -33.0 m * LOCATION: North Sea * CAMPAIGN: HE498 * BASIS: Heincke (URI: http://www.awi.de/en/expedition/ships/research-vessel-heincke.html) * DEVICE: Drifter (DRIFT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * COMMENT: UTC
	LATITUDE (Latitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
	LONGITUDE (Longitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) Size:	0 data points
*/
Date/Time	Latitude	Longitude
2017-10-08T09:29	54.02740	7.74691
2017-10-08T09:39	54.02695	7.75321
2017-10-08T09:53	54.02574	7.76096
2017-10-08T09:59	54.02524	7.76510
2017-10-08T10:13	54.02422	7.77302
2017-10-08T10:29	54.02308	7.78223
2017-10-08T10:41	54.02237	7.78783
2017-10-08T10:51	54.02164	7.79435
2017-10-08T10:59	54.02116	7.79832
2017-10-08T11:09	54.02062	7.80330
2017-10-08T11:22	54.01994	7.80980
2017-10-08T11:32	54.01955	7.81392
2017-10-08T12:12	54.01807	7.82887
2017-10-08T12:22	54.01786	7.83213
2017-10-08T12:32	54.01773	7.83591
2017-10-08T12:39	54.01770	7.83761
2017-10-08T12:59	54.01781	7.84126
2017-10-08T13:09	54.01808	7.84250
2017-10-08T13:19	54.01838	7.84327
2017-10-08T13:32	54.01882	7.84349
2017-10-08T13:42	54.01938	7.84306
2017-10-08T13:49	54.01975	7.84237
2017-10-08T13:59	54.02028	7.84066
2017-10-08T14:09	54.02071	7.83851
2017-10-08T14:31	54.02195	7.83258
2017-10-08T14:39	54.02254	7.82900
2017-10-08T14:51	54.02324	7.82349
2017-10-08T14:59	54.02375	7.82031
2017-10-08T15:09	54.02425	7.81542
2017-10-08T15:30	54.02522	7.80495
2017-10-08T15:40	54.02582	7.79946
2017-10-08T15:50	54.02625	7.79259
2017-10-08T16:08	54.02700	7.77941
2017-10-08T16:18	54.02717	7.77538
2017-10-08T16:28	54.02731	7.76918
2017-10-08T16:38	54.02746	7.76315
2017-10-08T16:48	54.02766	7.75703
2017-10-08T16:58	54.02794	7.75103
2017-10-08T17:12	54.02808	7.74476
2017-10-08T17:22	54.02808	7.73626
2017-10-08T17:48	54.02809	7.71935
2017-10-08T17:58	54.02805	7.71472
2017-10-08T18:08	54.02805	7.70931
2017-10-08T18:18	54.02799	7.70414
2017-10-08T18:30	54.02777	7.69792
2017-10-08T19:09	54.02599	7.68260
2017-10-08T19:22	54.02546	7.68020
2017-10-08T19:32	54.02503	7.67805
2017-10-08T19:42	54.02387	7.67599
2017-10-08T19:50	54.02341	7.67515
2017-10-08T19:58	54.02276	7.67487
2017-10-08T20:08	54.02186	7.67496
2017-10-08T20:18	54.02061	7.67210
2017-10-08T20:28	54.02005	7.67751
2017-10-08T21:58	54.01368	7.72030
2017-10-08T22:08	54.01355	7.72399
2017-10-08T22:18	54.01299	7.72957
2017-10-08T22:28	54.01245	7.73545
2017-10-08T22:57	54.01083	7.75253
2017-10-08T23:28	54.00959	7.76793
2017-10-08T23:37	54.00921	7.77231
2017-10-08T23:47	54.00870	7.77746
2017-10-08T23:57	54.00827	7.78132
2017-10-09T00:07	54.00773	7.78549
2017-10-09T00:17	54.00730	7.78944
2017-10-09T00:27	54.00686	7.79395
2017-10-09T00:37	54.00669	7.79592
2017-10-09T00:47	54.00643	7.79906
2017-10-09T00:57	54.00617	7.80163
2017-10-09T01:07	54.00608	7.80360
2017-10-09T01:19	54.00599	7.80600
2017-10-09T01:40	54.00613	7.80810
2017-10-09T01:47	54.00623	7.80817
2017-10-09T01:57	54.00640	7.80791
2017-10-09T02:17	54.00710	7.80568
2017-10-09T02:27	54.00749	7.80388
2017-10-09T02:37	54.00800	7.80173
2017-10-09T02:49	54.00856	7.79808
2017-10-09T03:07	54.00960	7.79050
2017-10-09T03:17	54.00986	7.78750
2017-10-09T03:27	54.01033	7.78304
2017-10-09T03:57	54.01179	7.76585
2017-10-09T04:07	54.01205	7.76182
2017-10-09T04:17	54.01248	7.75624
2017-10-09T04:26	54.01282	7.75039
2017-10-09T04:36	54.01321	7.74455
2017-10-09T04:46	54.01363	7.73873
2017-10-09T04:56	54.01402	7.73283
2017-10-09T05:08	54.01468	7.72526
2017-10-09T05:16	54.01453	7.71970
2017-10-09T05:28	54.01580	7.71388
2017-10-09T05:36	54.01648	7.70875
2017-10-09T05:46	54.01678	7.70300
2017-10-09T05:56	54.01717	7.69734
2017-10-09T06:09	54.01652	7.69088
2017-10-09T06:16	54.01665	7.68766
2017-10-09T06:29	54.01691	7.68127
2017-10-09T06:46	54.01734	7.67344
2017-10-09T07:05	54.01742	7.66543
2017-10-09T07:15	54.01742	7.66140
2017-10-09T07:25	54.01716	7.65908
2017-10-09T08:27	54.01683	7.65367
2017-10-09T08:35	54.01659	7.65565
2017-10-09T08:45	54.01672	7.65826
2017-10-09T08:55	54.01660	7.66279
2017-10-09T09:05	54.01660	7.66622
2017-10-09T09:15	54.01651	7.67120
2017-10-09T09:25	54.01626	7.67800
2017-10-09T09:35	54.01630	7.68281
2017-10-09T09:45	54.01626	7.68910
2017-10-09T09:56	54.01620	7.69689
2017-10-09T10:15	54.01637	7.70996
2017-10-09T10:25	54.01650	7.71723
2017-10-09T10:37	54.01653	7.72590
2017-10-09T10:45	54.01665	7.73154
2017-10-09T10:55	54.01674	7.73832
2017-10-09T11:05	54.01678	7.74493
2017-10-09T11:15	54.01679	7.75150
2017-10-09T11:28	54.01671	7.75809
2017-10-09T11:38	54.01667	7.76444
2017-10-09T11:48	54.01654	7.77268
2017-10-09T11:55	54.01648	7.77652
2017-10-09T12:05	54.01637	7.78210
2017-10-09T12:14	54.01619	7.78738
2017-10-09T12:24	54.01608	7.79227
2017-10-09T12:34	54.01596	7.79682
2017-10-09T12:44	54.01584	7.80096
2017-10-09T12:55	54.01568	7.80521
2017-10-09T13:04	54.01563	7.80843
2017-10-09T13:14	54.01568	7.81141
2017-10-09T13:24	54.01572	7.81390
2017-10-09T13:34	54.01574	7.81589
2017-10-09T13:45	54.01588	7.81748
2017-10-09T13:55	54.01621	7.81851
2017-10-09T14:04	54.01663	7.81896
2017-10-09T14:14	54.01721	7.81898
2017-10-09T14:24	54.01790	7.81860
2017-10-09T14:34	54.01867	7.81761
2017-10-09T14:44	54.01955	7.81600
2017-10-09T14:55	54.02062	7.81355
2017-10-09T15:04	54.02151	7.81104
2017-10-09T15:14	54.02250	7.80776
2017-10-09T15:24	54.02357	7.80398
2017-10-09T15:34	54.02467	7.79982
2017-10-09T15:44	54.02573	7.79529
2017-10-09T15:55	54.02690	7.78991
2017-10-09T16:04	54.02782	7.78532
2017-10-09T16:14	54.02886	7.78002
2017-10-09T16:24	54.02988	7.77450
2017-10-09T16:34	54.03094	7.76894
2017-10-09T16:44	54.03197	7.76328
2017-10-09T16:54	54.03304	7.75716
2017-10-09T17:04	54.03395	7.75161
2017-10-09T17:14	54.03497	7.74568
2017-10-09T17:24	54.03603	7.73940
2017-10-09T17:34	54.03696	7.73380
2017-10-09T17:45	54.03807	7.72723
2017-10-09T17:55	54.03901	7.72148
2017-10-09T18:03	54.03990	7.71641
2017-10-09T18:13	54.04084	7.71071
2017-10-09T18:23	54.04183	7.70530
2017-10-09T18:33	54.04282	7.69998
2017-10-09T18:44	54.04393	7.69477
2017-10-09T18:54	54.04493	7.68964
2017-10-09T19:04	54.04578	7.68524
2017-10-09T19:13	54.04655	7.68157
2017-10-09T19:23	54.04732	7.67788
2017-10-09T19:33	54.04805	7.67455
2017-10-09T19:43	54.04874	7.67172
2017-10-09T19:55	54.04957	7.66904
2017-10-09T20:03	54.05004	7.66768
2017-10-09T20:13	54.05054	7.66653
2017-10-09T20:23	54.05104	7.66610
2017-10-09T20:34	54.05146	7.66650
2017-10-09T20:43	54.05183	7.66758
2017-10-09T20:53	54.05229	7.67009
2017-10-09T21:03	54.05259	7.67232
2017-10-09T21:13	54.05294	7.67590
2017-10-09T21:43	54.05382	7.69082
2017-10-09T21:56	54.05414	7.69698
2017-10-09T22:06	54.05448	7.70599
2017-10-09T22:16	54.05482	7.71251
2017-10-09T22:23	54.05504	7.71715
2017-10-09T22:33	54.05521	7.72427
2017-10-09T22:42	54.05560	7.73167
2017-10-09T22:52	54.05603	7.73927
